Filename,esp_0
Instrument name,5333-0457
Operator,Osamu Katagiri
rundate,31/01/2020
Sample name,ESP_0
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel 
Procedure name,Sample
,Flow ramp
,Temperature ramp
proceduresegments,Flow ramp#Temperature ramp
[step]
Flow ramp - 1
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Modulus,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,Pa,N,µm,Pa.s²,s,µN.m,rad/s
0.0435904,23.2157,1.85883e-3,205.849,25.00,19.5979,7.43210e-5,0.0277059,20.0198,0.0363619,205.849,2.46498,0.403952
0.0462038,25.3778,1.81574e-3,208.077,24.99,18.9311,7.25959e-5,0.0267632,20.0110,0.0293945,208.077,2.61276,0.441574
0.0485989,27.8154,1.77731e-3,210.371,24.99,19.0097,7.10579e-5,0.0268743,20.0250,0.0245700,210.371,2.74820,0.483986
0.0523866,30.4850,1.74543e-3,212.664,24.99,19.5941,6.97811e-5,0.0277005,20.0246,0.0210840,212.664,2.96239,0.530438
0.0575827,33.3247,1.71764e-3,214.893,25.00,19.7228,6.86682e-5,0.0278825,20.0294,0.0177597,214.893,3.25622,0.579849
0.0626912,36.5256,1.69792e-3,217.186,25.00,20.2103,6.78786e-5,0.0285717,20.0215,0.0151488,217.186,3.54510,0.635543
0.0671795,40.0311,1.68459e-3,219.480,24.99,19.0833,6.73441e-5,0.0269784,20.0253,0.0119086,219.480,3.79891,0.696540
0.0722047,43.7600,1.66796e-3,221.708,25.00,19.1876,6.66784e-5,0.0271259,20.0292,0.0100200,221.708,4.08308,0.761422
0.0792918,47.9631,1.64654e-3,224.002,25.00,18.8517,6.58209e-5,0.0266510,20.0219,8.19475e-3,224.002,4.48384,0.834556
0.0863230,52.5671,1.63365e-3,226.296,25.00,19.5411,6.53045e-5,0.0276256,20.0292,7.07166e-3,226.296,4.88145,0.914665
0.0925112,57.4634,1.62299e-3,228.524,24.99,20.4370,6.48778e-5,0.0288921,20.0269,6.18919e-3,228.524,5.23138,0.999861
0.101663,62.9828,1.60958e-3,230.818,25.01,20.5136,6.43409e-5,0.0290004,20.0256,5.17127e-3,230.818,5.74890,1.09590
0.110130,69.0277,1.59649e-3,233.112,25.00,19.6767,6.38169e-5,0.0278172,20.0329,4.12957e-3,233.112,6.22771,1.20108
0.119737,75.4573,1.58847e-3,235.340,24.99,19.3525,6.34957e-5,0.0273590,20.0335,3.39888e-3,235.340,6.77099,1.31295
0.130425,82.7060,1.57693e-3,237.634,25.00,18.4744,6.30336e-5,0.0261175,20.0362,2.70082e-3,237.634,7.37534,1.43908
0.142195,90.6432,1.56872e-3,239.927,24.99,19.9292,6.27051e-5,0.0281742,20.0216,2.42560e-3,239.927,8.04095,1.57719
0.154275,99.0864,1.56090e-3,242.156,25.00,19.8319,6.23918e-5,0.0280367,20.0287,2.01993e-3,242.156,8.72405,1.72410
0.168861,108.605,1.55320e-3,244.449,24.99,20.1787,6.20836e-5,0.0285269,20.0310,1.71078e-3,244.449,9.54887,1.88972
0.184104,119.027,1.54666e-3,246.743,24.99,19.4787,6.18218e-5,0.0275374,20.0294,1.37489e-3,246.743,10.4109,2.07107
0.200233,130.115,1.54204e-3,248.971,25.00,18.9349,6.16369e-5,0.0267686,20.0250,1.11843e-3,248.971,11.3229,2.26400
0.219097,142.614,1.53725e-3,251.265,25.00,18.7824,6.14451e-5,0.0265530,20.0239,9.23487e-4,251.265,12.3897,2.48147
0.239646,156.301,1.53311e-3,253.559,24.99,19.7175,6.12792e-5,0.0278749,20.0308,8.07101e-4,253.559,13.5517,2.71963
0.261612,170.859,1.53061e-3,255.787,24.99,19.6889,6.11788e-5,0.0278345,20.0342,6.74442e-4,255.787,14.7938,2.97294
0.285810,187.273,1.52804e-3,258.081,25.00,18.6857,6.10758e-5,0.0264164,20.0347,5.32797e-4,258.081,16.1622,3.25854
0.313210,205.245,1.52631e-3,260.375,24.99,18.0859,6.10065e-5,0.0255683,20.0179,4.29335e-4,260.375,17.7116,3.57125
0.341841,224.363,1.52492e-3,262.603,24.99,16.9883,6.09508e-5,0.0240167,20.0267,3.37480e-4,262.603,19.3307,3.90391
0.374940,245.915,1.52467e-3,264.897,24.99,18.5682,6.09407e-5,0.0262502,20.0349,3.07043e-4,264.897,21.2024,4.27892
0.410765,269.516,1.52477e-3,267.190,25.00,17.9677,6.09446e-5,0.0254012,20.0402,2.47356e-4,267.190,23.2282,4.68957
0.449289,294.622,1.52569e-3,269.419,25.00,17.1516,6.09811e-5,0.0242476,20.0225,1.97595e-4,269.419,25.4067,5.12640
0.492943,322.922,1.52702e-3,271.712,25.00,14.8829,6.10340e-5,0.0210402,20.0280,1.42722e-4,271.712,27.8753,5.61883
0.540882,353.914,1.52912e-3,274.006,25.00,14.2574,6.11179e-5,0.0201560,20.0303,1.13827e-4,274.006,30.5861,6.15808
0.592408,386.880,1.53176e-3,276.234,25.00,14.9833,6.12233e-5,0.0211821,20.0262,1.00105e-4,276.234,33.4999,6.73170
0.650684,424.043,1.53508e-3,278.528,24.99,14.1518,6.13558e-5,0.0200066,20.0349,7.87031e-5,278.528,36.7953,7.37833
0.715001,464.739,1.53919e-3,280.822,25.00,11.9186,6.15199e-5,0.0168495,20.0188,5.51831e-5,280.822,40.4324,8.08645
0.783852,508.029,1.54369e-3,283.050,25.00,7.98266,6.16996e-5,0.0112852,20.0152,3.09294e-5,283.050,44.3258,8.83968
0.862312,556.829,1.54905e-3,285.344,25.00,4.80680,6.19139e-5,6.79546e-3,20.0148,1.55029e-5,285.344,48.7626,9.68881
0.948535,610.270,1.55505e-3,287.638,24.99,3.17945,6.21538e-5,4.49484e-3,20.0179,8.53705e-6,287.638,53.6384,10.6187
1.04138,667.114,1.56157e-3,289.866,25.00,0.526654,6.24143e-5,7.44539e-4,20.0078,1.18338e-6,289.866,58.8887,11.6078
1.14665,731.197,1.56908e-3,292.160,24.99,-3.17026,6.27143e-5,-4.48185e-3,20.0158,-5.92960e-6,292.160,64.8418,12.7228
1.26322,801.375,1.57757e-3,294.453,24.99,-10.4891,6.30535e-5,-0.0148286,20.0170,-1.63330e-5,294.453,71.4334,13.9439
1.38916,876.018,1.58622e-3,296.681,25.00,-17.9548,6.33994e-5,-0.0253830,20.0182,-2.33967e-5,296.681,78.5554,15.2427
1.52407,955.075,1.59563e-3,298.844,24.99,-24.8511,6.37752e-5,-0.0351324,20.0190,-2.72440e-5,298.844,86.1844,16.6183

