PVKinSU8_01_dia,PVKinSU8_02_dia,PVKinSU8_06_dia,PVKinSU8_05_dia,PVKinSU8_04_dia,PVKinSU8_10_gap,PVKinSU8_10_gap_x2,PVKinCHL_07_dia,PVKinCHL_05_dia,PVKinCHL_02_dia,PVKinCHL_06_dia,PVKinCHL_03_dia,PVKinCHL_08_09_10_gap,PSinTHF_07_dia,PSinTHF_05_dia,PSinTHF_06_dia,PSinTHF_04_dia,PSinTHF_03_dia,PSinTHF_08_09_gap,PSBinTHFDMF_06_dia,PSBinTHFDMF_00_dia,PSBinTHFDMF_02_dia,PSBinTHFDMF_03_dia,PSBinTHFDMF_04_dia,PSBinTHFDMF_08_10_gap,PEOinSU8_00_dia,PEOinSU8_05_dia,PEOinSU8_04_dia,PEOinSU8_02_dia,PEOinSU8_06_dia,PEOinSU8_08_gap,PEOinSU8_08_gap_x5
2260.76,,2192.9,2404.32,,25.3,50.6,789.47,2070.1,2572.92,3090.35,3152.34,34.3,1739.8,2439.14,2736.05,4980.15,5875.56,74.41,1258.79,2259.59,1763.15,1857.92,2030.57,63.11,2160.74,2119.02,3125.29,2777.7,4144.9,29.68,29.68
2379.92,,2169.2,2500.11,,26.81,53.62,742.01,2154.48,2624.16,3132.52,3281.93,35.5,1667.36,2634.25,2518.13,4819.58,6116.87,70.33,1503.47,1949.47,1904.98,1824.33,2496.29,63.1,2281.68,2141.67,3392.06,3072.21,4379.63,24.23,24.23
2331.85,,2121.02,2403.96,,53.01,53.01,933.01,2344.96,2573.27,3306.82,3173.44,49.64,1763.94,2707.75,2543.38,4672.55,6234.86,71.96,1640.15,1875.13,1857.92,1767.43,2181.46,62.14,2332.12,2287.62,3313.67,3067.93,4087.59,23.83,23.83
2452.39,,2243.03,2572.22,,52.83,52.83,1080.8,2117.47,2330.22,3373.83,3125.83,50.42,1714.97,2708.3,2762.91,4968.6,6571.14,66.78,1810.44,1637.42,1885.07,1715.58,1874.44,61.83,2282.72,2222.65,3347.83,2996.65,3942.28,24.02,24.02
2428.95,,2240.96,2648.15,,51.63,51.63,790.92,2093.78,2356.36,3132.52,3221.96,50.98,1861.31,2731.7,2508.1,4922.33,,58.41,1881.68,1803.02,1820.19,2095.83,2291.55,46.49,2186.62,2351.05,3197.36,3309.44,4136.54,39.72,39.72
2309.69,,2313.37,2478.87,,22.3,44.6,862.57,2103.78,2501.88,3084.33,3302.03,48.65,1908.36,2710.05,2607.01,4854.42,,55.75,1725.04,1780.29,1711.52,1853.54,2054.54,47.12,1869.09,2387.53,3269.09,3358.79,4259.02,5.08,25.4
2333.71,,2216.99,2501.84,,20.49,40.98,719.29,2041.72,2430.21,2940.64,3293.36,48.86,1715.65,2512.66,2730.04,4966.65,,51.92,1838.45,1610.74,1874.25,1890.29,2190.57,47.92,1967.37,2094.72,3217.91,3456.13,4259.65,4.71,23.55
2403.84,,2241.48,2549.09,,20.78,41.56,1029.82,2038.72,2427.3,2963.85,3421.92,77.51,1835.74,2292.81,2599.92,5120.14,,58.26,1767.43,1517.45,1954.18,1817.64,2107.09,45.91,1894.6,2384.43,2811.6,3265.16,4283.97,5.71,28.55
2380.29,,2265.57,2620.63,,23.41,46.82,957.23,1994.3,2527.18,3114.4,3390.19,79.13,1811.75,2537.05,2696.44,4811.26,,57.44,1921.98,1514.41,1976.49,1857.92,2024.21,46.51,1701.8,2311.95,3169.41,3865.84,4331.99,40.72,40.72
2309.69,,,2716.44,,23.35,46.7,956.94,2245.7,2475.84,2990.37,3300.37,78.13,1980.82,2611.57,2549.71,4967.42,,58.43,1799.34,1588.16,1859.32,1899.95,2276.15,52.51,2019.82,,3112.57,3454.78,4211.78,40.21,40.21
2284.15,,,,,28.05,56.1,909.4,2033.84,2408.9,2733.52,3270.64,37.49,1644.1,2419.06,2525.57,5074.19,,60.22,1976.78,1826.9,2122.67,2151.06,2763.68,52.05,1942.35,,,,,4.87,24.35
2163.99,,,,,27.22,54.44,933.32,2126.95,2528.46,2965.41,3492.28,37.23,,,2527.54,4806.12,,71.03,1778.89,1834.63,2245.62,2180.02,2137.47,53.65,1723.98,,,,,4.44,22.2
,,,,,28.01,56.02,861.24,2144.16,,2875.65,3208.03,36.65,,,2692.96,5221.53,,67.62,1843.02,1802.86,2275.41,2068.5,2325.08,52.82,1897.09,,,,,4.29,21.45
,,,,,19.06,38.12,837.32,2438.63,,3088.94,3308.06,36.65,,,2639.19,5113.75,,65.05,1668.23,1586.7,1915.92,2136.03,2374.85,51.13,1869.56,,,,,30.33,30.33
,,,,,17.9,35.8,1104.63,2366.75,,3119.71,,37.28,,,2881.42,5039.24,,69.63,1764.97,1587.25,1863.07,2160.89,2230.88,60.22,1487.73,,,,,29.72,29.72
,,,,,19.37,38.74,934.24,2226.52,,3063.65,,37.28,,,2690.35,5226.72,,78.67,,1778.99,1820.19,1806.42,,60.19,1895.69,,,,,29.53,29.53
,,,,,23.88,47.76,861.24,2163.26,,2868.37,,37.65,,,2761.96,5069.55,,74.37,,1682.67,2103.15,1794.33,,59.25,1773.34,,,,,37.46,37.46
,,,,,23.02,46.04,886.46,1941.08,,2942.22,,73.88,,,2660.87,4489.82,,80.19,,1803.02,1865.4,1843.01,,59.28,1870.35,,,,,37.67,37.67
,,,,,16.35,32.7,1033.15,2038.72,,,,74.11,,,2619.01,4419.93,,88.84,,1971.72,1764.96,2174.82,,60.46,,,,,,37.46,37.46
,,,,,17.33,34.66,1086.08,2117.47,,,,73.89,,,2742.89,5004.28,,87.68,,1995.75,1791.09,1819.39,,61.31,,,,,,42.91,42.91
,,,,,22.38,44.76,1028.71,2185.26,,,,75.15,,,2837.96,5094.07,,92.9,,2002.25,1764.96,1819.39,,61.81,,,,,,42.75,42.75
,,,,,22.79,45.58,1052.9,1999.12,,,,75.29,,,2765.46,4856.9,,87.45,,2091.46,1904.22,1806.42,,62.74,,,,,,35.45,35.45
,,,,,22.22,44.44,743.17,1724.29,,,,74.74,,,2667.37,,,88.18,,1707.39,2072.42,1711.35,,60.55,,,,,,35.82,35.82
,,,,,26.5,53,959.62,1795.4,,,,75.5,,,2764.08,,,89.15,,1706.71,2002.32,1939.87,,60.47,,,,,,10.59,52.95
,,,,,27.08,54.16,1004.78,1712.06,,,,75.5,,,2619.01,,,91.52,,1995.75,1891.98,2051.73,,46.36,,,,,,10.01,50.05
,,,,,26.63,53.26,1028.98,,,,,76.52,,,,,,90.69,,1995.17,1911.07,2245.1,,48.95,,,,,,8.37,41.85
,,,,,29.33,58.66,1028.98,,,,,76.13,,,,,,89.79,,1923.66,1868.05,2127.58,,49.49,,,,,,9.37,46.85
,,,,,28.99,57.98,1004.78,,,,,36.49,,,,,,89.52,,1754.79,2007.09,2290.04,,47.54,,,,,,,
,,,,,29.57,59.14,1076.82,,,,,36.81,,,,,,89.65,,1810.7,1959.08,2287.25,,44.78,,,,,,,
,,,,,27.05,54.1,1052.63,,,,,36.87,,,,,,84.33,,1875.13,2125.4,2429.07,,44.97,,,,,,,
,,,,,27.44,54.88,1080.8,,,,,35.66,,,,,,87.09,,1732.25,1881.98,2315.75,,45.15,,,,,,,
,,,,,27.33,54.66,1029.82,,,,,36.81,,,,,,84.31,,1901.45,1863.07,2057.24,,90.79,,,,,,,
,,,,,52.53,52.53,983.48,,,,,37.28,,,,,,,,1925.46,2025.38,2032.39,,89.4,,,,,,,
,,,,,52.16,52.16,909.09,,,,,37.5,,,,,,,,1924.41,1930.11,2155.51,,85.99,,,,,,,
,,,,,52.53,52.53,1005.07,,,,,38.28,,,,,,,,1948.43,1811.24,2077.32,,86.29,,,,,,,
,,,,,26.79,53.58,982.02,,,,,38.25,,,,,,,,1760.7,1978.25,2216.47,,84.45,,,,,,,
,,,,,27.29,54.58,837.32,,,,,37.89,,,,,,,,1874.98,,2269.92,,44.23,,,,,,,
,,,,,26.83,53.66,980.86,,,,,38.09,,,,,,,,1758.9,,2238.36,,43.64,,,,,,,
,,,,,26.84,53.68,1078.94,,,,,39.08,,,,,,,,1778.99,,2535.5,,46.11,,,,,,,
,,,,,26.72,53.44,885.49,,,,,39.29,,,,,,,,1730.75,,,,43.4,,,,,,,
,,,,,28.86,57.72,1005.92,,,,,38.11,,,,,,,,2139.53,,,,43.07,,,,,,,
,,,,,28.55,57.1,1005.07,,,,,71.74,,,,,,,,,,,,,,,,,,,
,,,,,28.35,56.7,909.09,,,,,72.94,,,,,,,,,,,,,,,,,,,
,,,,,25.88,51.76,982.02,,,,,72.51,,,,,,,,,,,,,,,,,,,
,,,,,24.75,49.5,,,,,,71.27,,,,,,,,,,,,,,,,,,,
,,,,,26.2,52.4,,,,,,72.11,,,,,,,,,,,,,,,,,,,
,,,,,52.53,52.53,,,,,,72.69,,,,,,,,,,,,,,,,,,,
,,,,,54.34,54.34,,,,,,72.31,,,,,,,,,,,,,,,,,,,
,,,,,22.32,44.64,,,,,,69.5,,,,,,,,,,,,,,,,,,,
,,,,,22.31,44.62,,,,,,70.48,,,,,,,,,,,,,,,,,,,
,,,,,24.3,48.6,,,,,,70.05,,,,,,,,,,,,,,,,,,,
,,,,,19.92,39.84,,,,,,67.86,,,,,,,,,,,,,,,,,,,
,,,,,20.53,41.06,,,,,,68.52,,,,,,,,,,,,,,,,,,,
,,,,,29.74,59.48,,,,,,55,,,,,,,,,,,,,,,,,,,
,,,,,29.54,59.08,,,,,,55.19,,,,,,,,,,,,,,,,,,,
,,,,,18.05,36.1,,,,,,55.02,,,,,,,,,,,,,,,,,,,
,,,,,19.69,39.38,,,,,,55.56,,,,,,,,,,,,,,,,,,,
