Filename,peo_su8_00_000_0,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,12/12/2019,,,,,,,,,,
Sample name,OSKT 000_PEO_SU8,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
,131.387,0.0595548,,,,,,,,,
,131.584,0.0581395,,,,,,,,,
,147.195,0.0600449,,,,,,,,,
,150.301,0.0581549,,,,,,,,,
,152.977,0.0559594,,,,,,,,,
,166.652,0.0528871,,,,,,,,,
,171.68,0.0565548,,,,,,,,,
,178.115,0.0542152,,,,,,,,,
,188.682,0.0527078,,,,,,,,,
,196.1,0.0493035,,,,,,,,,
,207.384,0.0511975,,,,,,,,,
,213.623,0.0502364,,,,,,,,,
,223.993,0.0479931,,,,,,,,,
,241.462,0.0504064,,,,,,,,,
,241.862,0.0475994,,,,,,,,,
,255.854,0.0462798,,,,,,,,,
,273.833,0.0439886,,,,,,,,,
,281.14,0.0466455,,,,,,,,,
,292.247,0.0435172,,,,,,,,,
,310.03,0.042249,,,,,,,,,
,327.338,0.0402102,,,,,,,,,
,333.817,0.0426208,,,,,,,,,
,351.013,0.0408169,,,,,,,,,
,377.865,0.0382255,,,,,,,,,
,381.128,0.0400527,,,,,,,,,
,381.3,0.0385883,,,,,,,,,
,435.537,0.035491,,,,,,,,,
,443.757,0.0371463,,,,,,,,,
,497.488,0.035124,,,,,,,,,
,516.678,0.0368006,,,,,,,,,
,568.252,0.0337062,,,,,,,,,
,601.581,0.032283,,,,,,,,,
,649.081,0.0329647,,,,,,,,,
,700.435,0.0312186,,,,,,,,,
,741.407,0.0291821,,,,,,,,,
,815.534,0.0294156,,,,,,,,,
,846.866,0.0282835,,,,,,,,,
,949.547,0.0257424,,,,,,,,,
,967.326,0.0267719,,,,,,,,,
,1104.92,0.0247095,,,,,,,,,
,1105.58,0.0238076,,,,,,,,,
,1262.09,0.0233943,,,,,,,,,
,1287.26,0.0229979,,,,,,,,,
,1441.61,0.0210858,,,,,,,,,
,1498.78,0.0216682,,,,,,,,,
,1646.66,0.0204713,,,,,,,,,
,1745.07,0.0206805,,,,,,,,,
,1880.89,0.0193668,,,,,,,,,
,2031.83,0.0184624,,,,,,,,,
,2148.43,0.0184862,,,,,,,,,
,2365.71,0.0171047,,,,,,,,,
,2454.02,0.016707,,,,,,,,,
,2754.45,0.015806,,,,,,,,,
,2803.09,0.0159589,,,,,,,,,
,3201.8,0.0141901,,,,,,,,,
,3207.08,0.014192,,,,,,,,,
,3657.23,0.0126677,,,,,,,,,
,3657.41,0.0126703,,,,,,,,,
,4001.45,0.0117108,,,,,,,,,
,4028.64,0.0116608,,,,,,,,,
,4469.63,0.0106327,,,,,,,,,
,4490.08,0.010631,,,,,,,,,
,5055.59,9.55E-03,,,,,,,,,
,5168.23,9.44E-03,,,,,,,,,
,5693.63,8.62E-03,,,,,,,,,
,6315.97,8.00E-03,,,,,,,,,
,7353.84,6.91E-03,,,,,,,,,
,8562.26,6.24E-03,,,,,,,,,
,9969.25,5.32E-03,,,,,,,,,
,11607.4,4.49E-03,,,,,,,,,
,13514.8,4.13E-03,,,,,,,,,
,15412.6,4.70E-03,,,,,,,,,
