Filename,ps_thf_01_4,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,18/12/2019,,,,,,,,,,
Sample name,PS_THF_01_4,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
74.9241,676.7610578,6.981948334,622.199,20,15.6723,0.0221562,20.0241,0.0873503,622.199,4236.86,0.233068
82.0818,753.2401131,6.980600741,629.539,20,-6.80393,-9.62E-03,20.0238,-0.0316139,629.539,4641.62,0.255264
89.8014,851.4311565,6.961667664,636.944,20,-22.4664,-0.0317611,20.0217,-0.0868819,636.944,5078.15,0.279802
98.1286,967.5881494,6.942718929,644.35,20,41.4841,0.0586467,20.0248,0.13353,644.35,5549.04,0.30669
107.408,1099.591928,6.923821771,651.69,20,-6.3243,-8.94E-03,20.024,-0.0169704,651.69,6073.8,0.335898
117.333,1249.604399,6.904976048,659.03,20,18.4742,0.0261173,20.0179,0.0413278,659.03,6635.05,0.367883
128.037,1404.959288,6.886314546,666.37,20,46.656,0.0659584,20.0246,0.087011,666.37,7240.32,0.402916
139.686,1596.63168,6.867570912,673.71,20,27.3383,0.0386486,20.0099,0.0425044,673.71,7899.08,0.441283
152.513,1823.922897,6.84454339,681.116,20,57.586,0.0814103,20.0229,0.0745165,681.116,8624.38,0.483705
166.807,2092.544644,6.79121533,688.521,20,93.4377,0.132094,20.0203,0.100637,688.521,9432.74,0.53019
181.266,2342.146267,6.732001074,695.861,20,55.2896,0.0781638,20.0151,0.049644,695.861,10250.3,0.58068
197.143,2628.664312,6.663762952,703.201,20,115.494,0.163276,20.016,0.0864519,703.201,11148.2,0.635976
214.584,2942.974619,6.59154529,710.541,20,129.763,0.183448,20.0218,0.0809768,710.541,12134.4,0.696535
232.574,3317.77933,6.500305285,717.881,20,148.533,0.209984,20.0156,0.0772724,717.881,13151.7,0.762866
250.462,3715.178923,6.421077711,725.287,20,176.324,0.249272,20.0157,0.0763446,725.287,14163.3,0.836209
