Polymer,Polymer Molecular Weight,Solvent,Solvent Surface Tension,Solvent Dielectric Constant,Solvent Boiling Point,Solvent Density,Solvent Vapour Pressure,NFES Type,Polymer Concentration,Nozzle Diameter,Solution Deposition Rate,Collector Substrate,Nozzle to Collector Distance,NFES Applied Voltage,NFES Stage Velocity,Fiber Diameter,Distance Between Fibers,Reference
PEO,4000000,NA,NA,NA,NA,NA,NA,NFES,2,150,NA,Si,2,1250,NA,343.1963636,NA,Xu2014
PEO,4000000,NA,NA,NA,NA,NA,NA,NFES,2,150,NA,Si,2,1250,NA,NA,74,Xu2014
PEO,4000000,NA,NA,NA,NA,NA,NA,AC NFES,2,150,NA,Si,2,1250,NA,NA,20,Xu2014
PEO,4000000,NA,NA,NA,NA,NA,NA,MultiNozz,2,150,NA,Si,2,1250,NA,NA,7,Xu2014
Gelatin,NA,AceticAcid/Ethylacetate,NA,NA,NA,NA,NA,NFES,11,NA,NA,PDMS,1.25,1000,NA,901.9066667,40,Xue2014
PEO,300000,Water/Ethanol,21.8433,24.5,78.24,0.7893,5.8,NFES,18,40,NA,Si,1,1700,360,489.4,NA,Zheng2010
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,4000,50,65816,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,4000,100,36188,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,4000,200,23861,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,4000,700,20519,,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,4000,1000,27499,297.9,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,4000,1500,22747,277.1,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,3.19284802,20,13919.75309,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,485.5967078,20,17407.40741,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,971.8319852,20,22561.7284,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,1459.912019,20,26913.58025,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,1956.932028,20,29043.20988,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,2453.526323,20,31358.02469,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,2941.961118,20,35555.55556,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,3466.723428,20,23950.61728,NA,Zheng2014
PEO,300000,Water/Ethanol,NA,NA,NA,NA,NA,EDW,14,210,50,PET,2,3974.670072,20,21327.16049,NA,Zheng2014
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,MES,3,160,3,Si,5,1000,50,343.9,NA,Bu2012
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,MES,3,160,3,Si,5,1000,100,307,NA,Bu2012
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,MES,3,160,3,Si,5,1000,200,289.6,42.0931765,Bu2012
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,MES,3,160,3,Si,5,1000,400,213.9,49.14966,Bu2012
PLGA,NA,Dimethylcarbonate DMC,28.3,3.087,90.5,1.0636,7.4,TPES,NA,NA,NA,PTFE,NA,NA,NA,304.7,NA,Coppola2014
PEO,200000,Water/Ethanol,NA,NA,NA,NA,NA,Suspension,14,250,10.8,Si,5.25,1600,150,300,300,Nagle2019
PEO,300000,Water,72.8,80.1,99.974,1,2.3393,NFES,8,400,NA,Si,0.5,1100,200,740,20,Fuh2011
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,16,NA,50,NA,2,1600,60,1462,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,18,NA,50,NA,2,1600,60,1583,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,50,NA,2,1600,60,1822,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,22,NA,50,NA,2,1600,60,2689,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,24,NA,50,NA,2,1600,60,4680,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,50,NA,2,1600,60,1839,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,100,NA,2,1600,60,3187,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,150,NA,2,1600,60,3957,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,50,NA,1.6,1600,60,3795,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,50,NA,1.8,1600,60,2591,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,50,NA,2,1600,60,1818,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,50,NA,2.2,1600,60,1413,NA,Fattahi2017
PMMA,NA,Nitromethane,37.48,35.87,101.2,1.1382,3.6,NFES,20,NA,50,NA,2.4,1600,60,1487,NA,Fattahi2017
