Filename,peo_su8_01_000_0,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,
rundate,28/01/2020,,,,,,,,,,
Sample name,PEO_SU8_01_000,,,,,,,,,,
Geometry name,60mm 0.9969° cone plate, Peltier plate Steel ,,,,,,,,,
Procedure name,Sample,,,,,,,,,,
,Flow ramp,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,
[step],,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s
21.1618,1548.18,0.0136662,1005.06,20,-200.633,-0.283638,20.0207,-8.37E-05,1005.06,1196.67,26.9383
23.1571,1695.26,0.013659,1012.4,20,-218.781,-0.309294,20.019,-7.61E-05,1012.4,1309.5,29.4975
25.3388,1856.33,0.0136517,1019.74,20,-257.409,-0.363903,20.0193,-7.47E-05,1019.74,1432.88,32.3001
27.7296,2032.69,0.0136441,1027.08,20,-287.673,-0.406687,20.0246,-6.96E-05,1027.08,1568.07,35.3688
30.3646,2227.64,0.0136365,1034.49,20,-331.506,-0.468656,20.0295,-6.68E-05,1034.49,1717.08,38.7609
33.309,2441.23,0.0136287,1041.89,20,-373.375,-0.527847,20.0277,-6.27E-05,1041.89,1883.58,42.4774
36.4232,2673.17,0.0136208,1049.23,20,-420.095,-0.593895,20.0255,-5.88E-05,1049.23,2059.68,46.513
39.8483,2927.14,0.0136128,1056.57,20,-506.569,-0.716146,20.0248,-5.91E-05,1056.57,2253.37,50.9321
43.5967,3205.24,0.0136048,1063.91,20,-589.03,-0.832722,20.0224,-5.73E-05,1063.91,2465.34,55.771
47.7029,3509.76,0.0135968,1071.25,20,-693.684,-0.980673,20.0249,-5.63E-05,1071.25,2697.54,61.0696
44.3212,3846.4,0.0115228,1078.66,20.01,-804.314,-1.13707,20.0091,-5.44E-05,1078.66,2506.31,66.9272
50.0379,4215.16,0.011871,1086.06,20,-924.349,-1.30677,20.0174,-5.20E-05,1086.06,2829.58,73.3436
