Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0015,2.4e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.002,2.3800000000000003e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0035,2.3199999999999998e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.002,2.3100000000000002e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0025,2.2800000000000002e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.004,2.1600000000000003e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.003,2.15e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0025,2.14e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-12,,0.03,12000.0,0.0035,2.0399999999999998e-05,,straight,single,Brown2011,,,
PCL,50000.0,CF/DMF,0.7474335,,,1142.62,melt,,0.0005139999999999999,1.39e-11,,0.03,12000.0,0.0001,2.0300000000000002e-05,,coil,single,Brown2011,,,
