Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,R_{jet},\Pi_1,Oh
3,80018.0,2,0.7474335,,,1142.62,5,,0.000736,5.56e-12,0,0.02,8000.0,,2.24e-05,,0,5,3,,,
3,80029.0,2,0.7474335,,,1142.62,5,,0.0007469999999999999,5.56e-12,0,0.06,8000.0,,2.2e-05,,0,5,3,,,
3,80019.0,2,0.7474335,,,1142.62,5,,0.000737,5.56e-12,0,0.02,10000.0,,2.1e-05,,0,5,3,,,
3,80022.0,2,0.7474335,,,1142.62,5,,0.00074,5.56e-12,0,0.03,8000.0,,2.0399999999999998e-05,,0,5,3,,,
3,80027.0,2,0.7474335,,,1142.62,5,,0.000745,5.56e-12,0,0.04,10000.0,,1.99e-05,,0,5,3,,,
3,80023.0,2,0.7474335,,,1142.62,5,,0.000741,5.56e-12,0,0.03,10000.0,,1.92e-05,,0,5,3,,,
3,80020.0,2,0.7474335,,,1142.62,5,,0.0007379999999999999,5.56e-12,0,0.02,12000.0,,1.83e-05,,0,5,3,,,
3,80024.0,2,0.7474335,,,1142.62,5,,0.000742,5.56e-12,0,0.03,12000.0,,1.82e-05,,0,5,3,,,
3,80009.0,2,0.7474335,,,1142.62,5,,0.000727,2.78e-12,0,0.04,6000.0,,1.57e-05,,0,5,3,,,
3,80005.0,2,0.7474335,,,1142.62,5,,0.000723,2.78e-12,0,0.03,6000.0,,1.51e-05,,0,5,3,,,
3,80013.0,2,0.7474335,,,1142.62,5,,0.000731,2.78e-12,0,0.06,6000.0,,1.4300000000000002e-05,,0,5,3,,,
3,80001.0,2,0.7474335,,,1142.62,5,,0.000719,2.78e-12,0,0.02,6000.0,,1.4000000000000001e-05,,0,5,3,,,
3,80030.0,2,0.7474335,,,1142.62,5,,0.0007480000000000001,5.56e-12,0,0.06,10000.0,,1.4000000000000001e-05,,0,5,3,,,
3,80010.0,2,0.7474335,,,1142.62,5,,0.000728,2.78e-12,0,0.04,8000.0,,1.36e-05,,0,5,3,,,
