Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.006,5000,0.00333,1.25949E-05,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.007,5000,0.00333,1.28567E-05,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.004,5000,0.00333,0.000013325,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.003,5000,0.00333,0.000013584,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.005,5000,0.00333,1.40927E-05,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.005,6000,0.00333,1.60235E-05,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.005,7000,0.00333,1.81493E-05,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.005,4000,0.00333,2.03693E-05,NA,straight,cross aligned,Hochleitner2014
PEtOx,50000,NA,,,,,melt,NA,0.00016,NA,Al,0.005,3000,0.00333,2.11681E-05,NA,straight,cross aligned,Hochleitner2014
PEO,1000000,Water/Ethanol,0.056,0.00981,25,1215.525,xy stage,4,0.00016,8.334E-11,NA,0.003,1500,NA,0.00000574,NA,straight,mesh,Ru2014
PEO,1000000,Water/Ethanol,0.056,0.007848,25,1215.525,xy stage,4,0.00016,1.6668E-10,NA,0.003,1500,NA,0.00001,NA,straight,mesh,Ru2014
PEO,1000000,Water/Ethanol,0.056,0.0063765,25,1215.525,xy stage,4,0.00016,2.5002E-10,NA,0.003,1500,NA,0.00001472,NA,straight,mesh,Ru2014
PEO,2000000,Water,,,,,auxiliary electrodes,4,0.00016,NA,Si,0.004,0,0.005,7.06107E-06,NA,straight,aligned discontinuous,Zhu2016
PEO,2000000,Water,0.056,0.004905,4,615.525,auxiliary electrodes,4,0.00016,NA,Si,0.004,1250,0.005,7.33946E-06,NA,meander,single,Zhu2016
PEO,2000000,Water,0.056,0.00981,18,1015.525,auxiliary electrodes,4,0.00016,NA,Si,0.004,3750,0.005,1.24841E-05,NA,meander,single,Zhu2016
PEO,2000000,Water,0.056,0.0073575,10,815.525,auxiliary electrodes,4,0.00016,NA,Si,0.004,2500,0.005,1.27336E-05,NA,meander,single,Zhu2016
PEO,2000000,Water,0.056,0.00981,25,1215.525,auxiliary electrodes,4,0.00016,NA,Si,0.004,5000,0.005,1.35901E-05,NA,meander,single,Zhu2016
PCL,83000,NA,,,,,melt,NA,0.00018,NA,Al,0.0015,2900,0.09167,0.000000817,0.0001006,straight,mesh,Dalton2015
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2300,0.02,NA,0.003034,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2400,0.02,NA,0.003034,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2500,0.02,NA,0.003078,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2600,0.02,NA,0.003092,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2700,0.02,NA,0.003087,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2800,0.02,NA,0.003105,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2300,0.02,NA,0.002798,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2400,0.02,NA,0.00281,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2500,0.02,NA,0.002836,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2600,0.02,NA,0.002825,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2700,0.02,NA,0.002812,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2800,0.02,NA,0.002819,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2300,0.02,NA,0.002718,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2400,0.02,NA,0.002766,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2500,0.02,NA,0.002726,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2600,0.02,NA,0.002771,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2700,0.02,NA,0.002753,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.004,2800,0.02,NA,0.002779,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.003,2500,0.02,NA,0.002475,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.0032,2500,0.02,NA,0.002515,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.0034,2500,0.02,NA,0.002565,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.0036,2500,0.02,NA,0.002589,straight,aligned,Wang2017
PEO,2000000,Water,,,,,multinozzle xy stage,5,0.00018,3.334E-12,NA,0.0038,2500,0.02,NA,0.002648,straight,aligned,Wang2017
