Polymer,Mw,Solvent,\eta_0 [Pa s],K [S/m],\gamma [N/m],rho [Kg/m^3],NFES Type,C_{polymer} [wt\%],D_{nozzle} [m],Q [m^3/s],Substrate,L [m],\Phi_0 [V],v_{stage} [m/s],D_{fiber} [m],FiberGap [m],FiberMorphology,FiberStructure,Reference,\Pi_1,R_{jet},Oh
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.150226664,7.86585e-07,,straight,aligned,Yang2019,2.851408912188729e-07,1.7588575300816722e-13,765.9858441554354
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.002,1000.0,0.06667000000000001,7.873529999999999e-07,,straight,aligned,Yang2019,7.128522280471823e-08,1.7605748302883918e-13,765.612173989282
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,8.329999999999999e-13,PS,0.001,1000.0,0.06667000000000001,8.24504e-07,,straight,aligned,Yang2019,2.851408912188729e-07,1.8436469917204865e-13,748.1646603079882
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.3039999999999999e-12,PS,0.001,1000.0,0.06667000000000001,8.63128e-07,,straight,aligned,Yang2019,2.851408912188729e-07,1.9300128812834384e-13,731.2333174971649
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.631e-12,PS,0.001,1000.0,0.06667000000000001,1.01018e-06,,straight,aligned,Yang2019,2.851408912188729e-07,2.2588311495107373e-13,675.9182783142658
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,8.333999999999999e-12,PS,0.001,1000.0,0.06667000000000001,1.2456200000000001e-06,,straight,aligned,Yang2019,2.851408912188729e-07,2.7852909941332883e-13,608.6964760035236
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.133742279,1.2987799999999998e-06,,straight,aligned,Yang2019,2.851408912188729e-07,2.9041603678171766e-13,596.1091357141156
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.11708332699999999,1.3292700000000001e-06,,straight,aligned,Yang2019,2.851408912188729e-07,2.9723380804511457e-13,589.2328787446714
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.008774731,1.45732e-06,,straight,aligned,Yang2019,2.851408912188729e-07,3.258666584969993e-13,562.7507873114066
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.10046415,1.46951e-06,,straight,aligned,Yang2019,2.851408912188729e-07,3.285924253615716e-13,560.4118383833733
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.017140667,1.54268e-06,,straight,aligned,Yang2019,2.851408912188729e-07,3.449537347529375e-13,546.9601037177583
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.08384718299999999,1.6158500000000002e-06,,straight,aligned,Yang2019,2.851408912188729e-07,3.6131504414430356e-13,534.4327361229065
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.06667000000000001,1.85792e-06,,straight,aligned,Yang2019,2.851408912188729e-07,4.154435416756409e-13,498.40233569988504
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.0015,1000.0,0.06667000000000001,1.98983e-06,,straight,aligned,Yang2019,1.2672928498616573e-07,4.449395143668406e-13,481.5990113220233
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.6669999999999999e-12,PS,0.001,1000.0,0.067353959,2.10366e-06,,straight,aligned,Yang2019,2.851408912188729e-07,4.703926761547207e-13,468.3880423280162
PEO,900000.0,Water,0.055999999999999994,0.00981,25.0,1215.525,xy stage,5.0,0.00011,1.3334000000000003e-11,PS,0.001,1000.0,0.06667000000000001,2.10484e-06,,straight,aligned,Yang2019,2.851408912188729e-07,4.706565321760657e-13,468.2567317832647
