Filename,psb_thfdmf_01_6,,,,,,,,,,,,
Instrument name,5333-0457,,,,,,,,,,,,
Operator,Osamu Katagiri,,,,,,,,,,,,
rundate,19/12/2019,,,,,,,,,,,,
Sample name,PSB_THFDMF_01_6,,,,,,,,,,,,
Geometry name,60.0mm 0.996944° cone plate, Peltier plate Steel ,,,,,,,,,,,
Procedure name,Sample,,,,,,,,,,,,
,Flow ramp,,,,,,,,,,,,
proceduresegments,Flow ramp,,,,,,,,,,,,
[step],,,,,,,,,,,,,
Flow ramp - 1,,,,,,,,,,,,,
Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Axial force,Gap,Normal stress coefficient,Time,Torque,Velocity,,
Pa,1/s,Pa.s,s,°C,Pa,N,µm,Pa.s²,s,µN.m,rad/s,,
187.269,3497.44,0.0535446,1071.25,20.01,-488.516,-0.690623,20.0169,-3.99E-05,1071.25,10589.8,60.8554,,
99.6584,3834.21,0.0259919,1078.66,20.04,-620.008,-0.876515,20.0133,-4.22E-05,1078.66,5635.55,66.7152,,
24.237,4202.17,5.77E-03,1086.06,20.07,-763.638,-1.07957,20.0174,-4.32E-05,1086.06,1370.57,73.1175,,
22.9333,4602.25,4.98E-03,1093.4,20,-887.035,-1.25402,20.025,-4.19E-05,1093.4,1296.85,80.0789,,
24.8718,5040.62,4.93E-03,1100.74,19.98,-1028.77,-1.45439,20.0324,-4.05E-05,1100.74,1406.47,87.7067,,
25.0673,5520.52,4.54E-03,1108.08,19.97,-1184.37,-1.67436,20.0333,-3.89E-05,1108.08,1417.52,96.0568,,
25.8231,6046.29,4.27E-03,1115.42,19.98,-1297.27,-1.83397,20.0294,-3.55E-05,1115.42,1460.26,105.205,,
26.0727,6627.49,3.93E-03,1122.83,19.98,-1378.29,-1.94852,20.0245,-3.14E-05,1122.83,1474.37,115.318,,
22.8767,7264.55,3.15E-03,1130.23,19.98,-531.994,-0.752088,20.0269,-1.01E-05,1130.23,1293.65,126.403,,
21.0857,7956.17,2.65E-03,1137.57,19.99,-39.8122,-0.0562831,20.0389,-6.29E-07,1137.57,1192.37,138.437,,
23.2306,8713.86,2.67E-03,1144.91,19.99,-68.6082,-0.0969926,20.0204,-9.04E-07,1144.91,1313.66,151.621,,
23.9469,9543.64,2.51E-03,1152.25,19.99,-84.6273,-0.119639,20.0266,-9.29E-07,1152.25,1354.17,166.059,,
24.4702,10452.4,2.34E-03,1159.59,19.99,-82.1004,-0.116067,20.0327,-7.51E-07,1159.59,1383.75,181.871,,
24.545,11457.1,2.14E-03,1167,19.99,-115.607,-0.163436,20.0311,-8.81E-07,1167,1387.99,199.354,,
27.4096,12558.6,2.18E-03,1174.41,19.99,-149.758,-0.211716,20.0213,-9.50E-07,1174.41,1549.98,218.518,,
23.5132,13754.2,1.71E-03,1181.75,19.99,-164.69,-0.232824,20.0284,-8.71E-07,1181.75,1329.64,239.323,,
28.0015,15063.7,1.86E-03,1189.09,19.99,-167.392,-0.236645,20.0159,-7.38E-07,1189.09,1583.45,262.108,,
30.7144,16484.9,1.86E-03,1196.36,19.99,-119.254,-0.168591,20.0285,-4.39E-07,1196.36,1736.86,286.836,,
